#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Primary Type
412,Burmy  Sandy Cloak,224,40,29,45,29,45,36,Bug
412,Burmy  Trash Cloak,224,40,29,45,29,45,36,Bug
413,Wormadam  Plant Cloak,424,60,59,85,79,105,36,Bug
413,Wormadam  Sandy Cloak,424,60,79,105,59,85,36,Bug
413,Wormadam  Trash Cloak,424,60,69,95,69,95,36,Bug
414,Mothim,424,70,94,50,94,50,66,Bug
415,Combee,244,30,30,42,30,42,70,Bug
416,Vespiquen,474,70,80,102,80,102,40,Bug
417,Pachirisu,405,60,45,70,45,90,95,Electric
418,Buizel,330,55,65,35,60,30,85,Water
419,Floatzel,495,85,105,55,85,50,115,Water
420,Cherubi,275,45,35,45,62,53,35,Grass
421,Cherrim,450,70,60,70,87,78,85,Grass
422,Shellos,325,76,48,48,57,62,34,Water
423,Gastrodon,475,111,83,68,92,82,39,Water
424,Ambipom,482,75,100,66,60,66,115,Normal
425,Drifloon,348,90,50,34,60,44,70,Ghost
426,Drifblim,498,150,80,44,90,54,80,Ghost
427,Buneary,350,55,66,44,44,56,85,Normal
428,Lopunny,480,65,76,84,54,96,105,Normal
428,Lopunny  Mega Lopunny,580,65,136,94,54,96,135,Normal
429,Mismagius,495,60,60,60,105,105,105,Ghost
430,Honchkrow,505,100,125,52,105,52,71,Dark
431,Glameow,310,49,55,42,42,37,85,Normal
432,Purugly,452,71,82,64,64,59,112,Normal
433,Chingling,285,45,30,50,65,50,45,Psychic
434,Stunky,329,63,63,47,41,41,74,Poison
435,Skuntank,479,103,93,67,71,61,84,Poison
436,Bronzor,300,57,24,86,24,86,23,Steel
437,Bronzong,500,67,89,116,79,116,33,Steel
438,Bonsly,290,50,80,95,10,45,10,Rock
439,Mime Jr.,310,20,25,45,70,90,60,Psychic
440,Happiny,220,100,5,5,15,65,30,Normal
441,Chatot,411,76,65,45,92,42,91,Normal
442,Spiritomb,485,50,92,108,92,108,35,Ghost
443,Gible,300,58,70,45,40,45,42,Dragon
444,Gabite,410,68,90,65,50,55,82,Dragon
445,Garchomp,600,108,130,95,80,85,102,Dragon
445,Garchomp  Mega Garchomp,700,108,170,115,120,95,92,Dragon
446,Munchlax,390,135,85,40,40,85,5,Normal
447,Riolu,285,40,70,40,35,40,60,Fighting
448,Lucario,525,70,110,70,115,70,90,Fighting
448,Lucario  Mega Lucario,625,70,145,88,140,70,112,Fighting
449,Hippopotas,330,68,72,78,38,42,32,Ground
450,Hippowdon,525,108,112,118,68,72,47,Ground
451,Skorupi,330,40,50,90,30,55,65,Poison
452,Drapion,500,70,90,110,60,75,95,Poison
453,Croagunk,300,48,61,40,61,40,50,Poison
454,Toxicroak,490,83,106,65,86,65,85,Poison
455,Carnivine,454,74,100,72,90,72,46,Grass
456,Finneon,330,49,49,56,49,61,66,Water
457,Lumineon,460,69,69,76,69,86,91,Water
458,Mantyke,345,45,20,50,60,120,50,Water
459,Snover,334,60,62,50,62,60,40,Grass
460,Abomasnow,494,90,92,75,92,85,60,Grass
460,Abomasnow  Mega Abomasnow,594,90,132,105,132,105,30,Grass
461,Weavile,510,70,120,65,45,85,125,Dark
462,Magnezone,535,70,70,115,130,90,60,Electric
463,Lickilicky,515,110,85,95,80,95,50,Normal
464,Rhyperior,535,115,140,130,55,55,40,Ground
465,Tangrowth,535,100,100,125,110,50,50,Grass
466,Electivire,540,75,123,67,95,85,95,Electric
467,Magmortar,540,75,95,67,125,95,83,Fire
468,Togekiss,545,85,50,95,120,115,80,Fairy
469,Yanmega,515,86,76,86,116,56,95,Bug
470,Leafeon,525,65,110,130,60,65,95,Grass
471,Glaceon,525,65,60,110,130,95,65,Ice
472,Gliscor,510,75,95,125,45,75,95,Ground
473,Mamoswine,530,110,130,80,70,60,80,Ice
474,Porygon-Z,535,85,80,70,135,75,90,Normal
475,Gallade,518,68,125,65,65,115,80,Psychic
475,Gallade  Mega Gallade,618,68,165,95,65,115,110,Psychic
476,Probopass,525,60,55,145,75,150,40,Rock
477,Dusknoir,525,45,100,135,65,135,45,Ghost
478,Froslass,480,70,80,70,80,70,110,Ice
479,Rotom,440,50,50,77,95,77,91,Electric
479,Rotom  Heat Rotom,520,50,65,107,105,107,86,Electric
479,Rotom  Wash Rotom,520,50,65,107,105,107,86,Electric
479,Rotom  Frost Rotom,520,50,65,107,105,107,86,Electric
479,Rotom  Fan Rotom,520,50,65,107,105,107,86,Electric
479,Rotom  Mow Rotom,520,50,65,107,105,107,86,Electric
480,Uxie,580,75,75,130,75,130,95,Psychic
481,Mesprit,580,80,105,105,105,105,80,Psychic
482,Azelf,580,75,125,70,125,70,115,Psychic
483,Dialga,680,100,120,120,150,100,90,Steel
483,Dialga  Origin Forme,680,100,100,120,150,120,90,Steel
484,Palkia,680,90,120,100,150,120,100,Water
484,Palkia  Origin Forme,680,90,100,100,150,120,120,Water
485,Heatran,600,91,90,106,130,106,77,Fire
486,Regigigas,670,110,160,110,80,110,100,Normal
487,Giratina  Altered Forme,680,150,100,120,100,120,90,Ghost
487,Giratina  Origin Forme,680,150,120,100,120,100,90,Ghost
488,Cresselia,580,120,70,110,75,120,85,Psychic
489,Phione,480,80,80,80,80,80,80,Water
490,Manaphy,600,100,100,100,100,100,100,Water
491,Darkrai,600,70,90,90,135,90,125,Dark
492,Shaymin  Land Forme,600,100,100,100,100,100,100,Grass
492,Shaymin  Sky Forme,600,100,103,75,120,75,127,Grass
493,Arceus,720,120,120,120,120,120,120,Normal
494,Victini,600,100,100,100,100,100,100,Psychic
495,Snivy,308,45,45,55,45,55,63,Grass
496,Servine,413,60,60,75,60,75,83,Grass
497,Serperior,528,75,75,95,75,95,113,Grass
498,Tepig,308,65,63,45,45,45,45,Fire
499,Pignite,418,90,93,55,70,55,55,Fire
500,Emboar,528,110,123,65,100,65,65,Fire
501,Oshawott,308,55,55,45,63,45,45,Water
502,Dewott,413,75,75,60,83,60,60,Water
503,Samurott,528,95,100,85,108,70,70,Water
503,Samurott  Hisuian Samurott,528,90,108,80,100,65,85,Water
504,Patrat,255,45,55,39,35,39,42,Normal
505,Watchog,420,60,85,69,60,69,77,Normal
506,Lillipup,275,45,60,45,25,45,55,Normal
507,Herdier,370,65,80,65,35,65,60,Normal
508,Stoutland,500,85,110,90,45,90,80,Normal
509,Purrloin,281,41,50,37,50,37,66,Dark
510,Liepard,446,64,88,50,88,50,106,Dark
511,Pansage,316,50,53,48,53,48,64,Grass
512,Simisage,498,75,98,63,98,63,101,Grass
513,Pansear,316,50,53,48,53,48,64,Fire
514,Simisear,498,75,98,63,98,63,101,Fire
515,Panpour,316,50,53,48,53,48,64,Water
516,Simipour,498,75,98,63,98,63,101,Water
517,Munna,292,76,25,45,67,55,24,Psychic
518,Musharna,487,116,55,85,107,95,29,Psychic
519,Pidove,264,50,55,50,36,30,43,Normal
520,Tranquill,358,62,77,62,50,42,65,Normal
521,Unfezant,488,80,115,80,65,55,93,Normal
522,Blitzle,295,45,60,32,50,32,76,Electric
523,Zebstrika,497,75,100,63,80,63,116,Electric
524,Roggenrola,280,55,75,85,25,25,15,Rock
525,Boldore,390,70,105,105,50,40,20,Rock
526,Gigalith,515,85,135,130,60,80,25,Rock
527,Woobat,323,65,45,43,55,43,72,Psychic
528,Swoobat,425,67,57,55,77,55,114,Psychic
529,Drilbur,328,60,85,40,30,45,68,Ground
530,Excadrill,508,110,135,60,50,65,88,Ground
531,Audino,445,103,60,86,60,86,50,Normal
531,Audino  Mega Audino,545,103,60,126,80,126,50,Normal
532,Timburr,305,75,80,55,25,35,35,Fighting
533,Gurdurr,405,85,105,85,40,50,40,Fighting
534,Conkeldurr,505,105,140,95,55,65,45,Fighting
535,Tympole,294,50,50,40,50,40,64,Water
536,Palpitoad,384,75,65,55,65,55,69,Water
537,Seismitoad,509,105,95,75,85,75,74,Water
538,Throh,465,120,100,85,30,85,45,Fighting
539,Sawk,465,75,125,75,30,75,85,Fighting
540,Sewaddle,310,45,53,70,40,60,42,Bug
541,Swadloon,380,55,63,90,50,80,42,Bug
542,Leavanny,500,75,103,80,70,80,92,Bug
543,Venipede,260,30,45,59,30,39,57,Bug
544,Whirlipede,360,40,55,99,40,79,47,Bug
545,Scolipede,485,60,100,89,55,69,112,Bug
546,Cottonee,280,40,27,60,37,50,66,Grass
547,Whimsicott,480,60,67,85,77,75,116,Grass
548,Petilil,280,45,35,50,70,50,30,Grass
549,Lilligant,480,70,60,75,110,75,90,Grass
549,Lilligant  Hisuian Lilligant,480,70,105,75,50,75,105,Grass
550,Basculin  Red-Striped Form,460,70,92,65,80,55,98,Water
550,Basculin  Blue-Striped Form,460,70,92,65,80,55,98,Water
550,Basculin  White-Striped Form,460,70,92,65,80,55,98,Water
551,Sandile,292,50,72,35,35,35,65,Ground
552,Krokorok,351,60,82,45,45,45,74,Ground
553,Krookodile,519,95,117,80,65,70,92,Ground
554,Darumaka,315,70,90,45,15,45,50,Fire
554,Darumaka  Galarian Darumaka,315,70,90,45,15,45,50,Ice
555,Darmanitan  Standard Mode,480,105,140,55,30,55,95,Fire
555,Darmanitan  Zen Mode,540,105,30,105,140,105,55,Fire
555,Darmanitan  Galarian Standard Mode,480,105,140,55,30,55,95,Ice
555,Darmanitan  Galarian Zen Mode,540,105,160,55,30,55,135,Ice
556,Maractus,461,75,86,67,106,67,60,Grass
557,Dwebble,325,50,65,85,35,35,55,Bug
558,Crustle,485,70,105,125,65,75,45,Bug
559,Scraggy,348,50,75,70,35,70,48,Dark
560,Scrafty,488,65,90,115,45,115,58,Dark
561,Sigilyph,490,72,58,80,103,80,97,Psychic
562,Yamask,303,38,30,85,55,65,30,Ghost
562,Yamask  Galarian Yamask,303,38,55,85,30,65,30,Ground
563,Cofagrigus,483,58,50,145,95,105,30,Ghost
564,Tirtouga,355,54,78,103,53,45,22,Water
565,Carracosta,495,74,108,133,83,65,32,Water
566,Archen,401,55,112,45,74,45,70,Rock
567,Archeops,567,75,140,65,112,65,110,Rock
568,Trubbish,329,50,50,62,40,62,65,Poison
569,Garbodor,474,80,95,82,60,82,75,Poison
570,Zorua,330,40,65,40,80,40,65,Dark
570,Zorua  Hisuian Zorua,330,35,60,40,85,40,70,Normal
571,Zoroark,510,60,105,60,120,60,105,Dark
571,Zoroark  Hisuian Zoroark,510,55,100,60,125,60,110,Normal
572,Minccino,300,55,50,40,40,40,75,Normal
573,Cinccino,470,75,95,60,65,60,115,Normal
574,Gothita,290,45,30,50,55,65,45,Psychic
575,Gothorita,390,60,45,70,75,85,55,Psychic
576,Gothitelle,490,70,55,95,95,110,65,Psychic
577,Solosis,290,45,30,40,105,50,20,Psychic
578,Duosion,370,65,40,50,125,60,30,Psychic
579,Reuniclus,490,110,65,75,125,85,30,Psychic
580,Ducklett,305,62,44,50,44,50,55,Water
581,Swanna,473,75,87,63,87,63,98,Water
582,Vanillite,305,36,50,50,65,60,44,Ice
583,Vanillish,395,51,65,65,80,75,59,Ice
584,Vanilluxe,535,71,95,85,110,95,79,Ice
585,Deerling,335,60,60,50,40,50,75,Normal
586,Sawsbuck,475,80,100,70,60,70,95,Normal
587,Emolga,428,55,75,60,75,60,103,Electric
588,Karrablast,315,50,75,45,40,45,60,Bug
589,Escavalier,495,70,135,105,60,105,20,Bug
590,Foongus,294,69,55,45,55,55,15,Grass
591,Amoonguss,464,114,85,70,85,80,30,Grass
592,Frillish,335,55,40,50,65,85,40,Water
593,Jellicent,480,100,60,70,85,105,60,Water
594,Alomomola,470,165,75,80,40,45,65,Water
595,Joltik,319,50,47,50,57,50,65,Bug
596,Galvantula,472,70,77,60,97,60,108,Bug
597,Ferroseed,305,44,50,91,24,86,10,Grass
598,Ferrothorn,489,74,94,131,54,116,20,Grass
599,Klink,300,40,55,70,45,60,30,Steel
600,Klang,440,60,80,95,70,85,50,Steel
601,Klinklang,520,60,100,115,70,85,90,Steel
602,Tynamo,275,35,55,40,45,40,60,Electric
603,Eelektrik,405,65,85,70,75,70,40,Electric
604,Eelektross,515,85,115,80,105,80,50,Electric
605,Elgyem,335,55,55,55,85,55,30,Psychic
606,Beheeyem,485,75,75,75,125,95,40,Psychic
607,Litwick,275,50,30,55,65,55,20,Ghost
608,Lampent,370,60,40,60,95,60,55,Ghost
609,Chandelure,520,60,55,90,145,90,80,Ghost
610,Axew,320,46,87,60,30,40,57,Dragon
611,Fraxure,410,66,117,70,40,50,67,Dragon
612,Haxorus,540,76,147,90,60,70,97,Dragon
613,Cubchoo,305,55,70,40,60,40,40,Ice
614,Beartic,505,95,130,80,70,80,50,Ice
615,Cryogonal,515,80,50,50,95,135,105,Ice
616,Shelmet,305,50,40,85,40,65,25,Bug
617,Accelgor,495,80,70,40,100,60,145,Bug
618,Stunfisk,471,109,66,84,81,99,32,Ground
618,Stunfisk  Galarian Stunfisk,471,109,81,99,66,84,32,Ground
619,Mienfoo,350,45,85,50,55,50,65,Fighting
620,Mienshao,510,65,125,60,95,60,105,Fighting
621,Druddigon,485,77,120,90,60,90,48,Dragon
622,Golett,303,59,74,50,35,50,35,Ground
623,Golurk,483,89,124,80,55,80,55,Ground
624,Pawniard,340,45,85,70,40,40,60,Dark
625,Bisharp,490,65,125,100,60,70,70,Dark
626,Bouffalant,490,95,110,95,40,95,55,Normal
627,Rufflet,350,70,83,50,37,50,60,Normal
628,Braviary,510,100,123,75,57,75,80,Normal
628,Braviary  Hisuian Braviary,510,110,83,70,112,70,65,Psychic
629,Vullaby,370,70,55,75,45,65,60,Dark
630,Mandibuzz,510,110,65,105,55,95,80,Dark
631,Heatmor,484,85,97,66,105,66,65,Fire
632,Durant,484,58,109,112,48,48,109,Bug
633,Deino,300,52,65,50,45,50,38,Dark
634,Zweilous,420,72,85,70,65,70,58,Dark
635,Hydreigon,600,92,105,90,125,90,98,Dark
636,Larvesta,360,55,85,55,50,55,60,Bug
637,Volcarona,550,85,60,65,135,105,100,Bug
638,Cobalion,580,91,90,129,90,72,108,Steel
639,Terrakion,580,91,129,90,72,90,108,Rock
640,Virizion,580,91,90,72,90,129,108,Grass
641,Tornadus  Incarnate Forme,580,79,115,70,125,80,111,Flying
641,Tornadus  Therian Forme,580,79,100,80,110,90,121,Flying
642,Thundurus  Incarnate Forme,580,79,115,70,125,80,111,Electric
642,Thundurus  Therian Forme,580,79,105,70,145,80,101,Electric
643,Reshiram,680,100,120,100,150,120,90,Dragon
644,Zekrom,680,100,150,120,120,100,90,Dragon
645,Landorus  Incarnate Forme,600,89,125,90,115,80,101,Ground
645,Landorus  Therian Forme,600,89,145,90,105,80,91,Ground
646,Kyurem,660,125,130,90,130,90,95,Dragon
646,Kyurem  White Kyurem,700,125,120,90,170,100,95,Dragon
646,Kyurem  Black Kyurem,700,125,170,100,120,90,95,Dragon
647,Keldeo  Ordinary Form,580,91,72,90,129,90,108,Water
647,Keldeo  Resolute Form,580,91,72,90,129,90,108,Water
648,Meloetta  Aria Forme,600,100,77,77,128,128,90,Normal
648,Meloetta  Pirouette Forme,600,100,128,90,77,77,128,Normal
649,Genesect,600,71,120,95,120,95,99,Bug
650,Chespin,313,56,61,65,48,45,38,Grass
651,Quilladin,405,61,78,95,56,58,57,Grass
652,Chesnaught,530,88,107,122,74,75,64,Grass
653,Fennekin,307,40,45,40,62,60,60,Fire
654,Braixen,409,59,59,58,90,70,73,Fire
655,Delphox,534,75,69,72,114,100,104,Fire
656,Froakie,314,41,56,40,62,44,71,Water
657,Frogadier,405,54,63,52,83,56,97,Water
658,Greninja,530,72,95,67,103,71,122,Water
658,Greninja  Ash-Greninja,640,72,145,67,153,71,132,Water
659,Bunnelby,237,38,36,38,32,36,57,Normal
660,Diggersby,423,85,56,77,50,77,78,Normal
661,Fletchling,278,45,50,43,40,38,62,Normal
662,Fletchinder,382,62,73,55,56,52,84,Fire
663,Talonflame,499,78,81,71,74,69,126,Fire
664,Scatterbug,200,38,35,40,27,25,35,Bug
665,Spewpa,213,45,22,60,27,30,29,Bug
666,Vivillon,411,80,52,50,90,50,89,Bug
667,Litleo,369,62,50,58,73,54,72,Fire
668,Pyroar,507,86,68,72,109,66,106,Fire
669,Flabébé,303,44,38,39,61,79,42,Fairy
670,Floette,371,54,45,47,75,98,52,Fairy
671,Florges,552,78,65,68,112,154,75,Fairy
672,Skiddo,350,66,65,48,62,57,52,Grass
673,Gogoat,531,123,100,62,97,81,68,Grass
674,Pancham,348,67,82,62,46,48,43,Fighting
675,Pangoro,495,95,124,78,69,71,58,Fighting
676,Furfrou,472,75,80,60,65,90,102,Normal
677,Espurr,355,62,48,54,63,60,68,Psychic
678,Meowstic  Male,466,74,48,76,83,81,104,Psychic
678,Meowstic  Female,466,74,48,76,83,81,104,Psychic
679,Honedge,325,45,80,100,35,37,28,Steel
680,Doublade,448,59,110,150,45,49,35,Steel
681,Aegislash  Shield Forme,500,60,50,140,50,140,60,Steel
681,Aegislash  Blade Forme,500,60,140,50,140,50,60,Steel
682,Spritzee,341,78,52,60,63,65,23,Fairy
683,Aromatisse,462,101,72,72,99,89,29,Fairy
684,Swirlix,341,62,48,66,59,57,49,Fairy
685,Slurpuff,480,82,80,86,85,75,72,Fairy
686,Inkay,288,53,54,53,37,46,45,Dark
687,Malamar,482,86,92,88,68,75,73,Dark
688,Binacle,306,42,52,67,39,56,50,Rock
689,Barbaracle,500,72,105,115,54,86,68,Rock
690,Skrelp,320,50,60,60,60,60,30,Poison
691,Dragalge,494,65,75,90,97,123,44,Poison
692,Clauncher,330,50,53,62,58,63,44,Water
693,Clawitzer,500,71,73,88,120,89,59,Water
694,Helioptile,289,44,38,33,61,43,70,Electric
695,Heliolisk,481,62,55,52,109,94,109,Electric
696,Tyrunt,362,58,89,77,45,45,48,Rock
697,Tyrantrum,521,82,121,119,69,59,71,Rock
698,Amaura,362,77,59,50,67,63,46,Rock
699,Aurorus,521,123,77,72,99,92,58,Rock
700,Sylveon,525,95,65,65,110,130,60,Fairy
701,Hawlucha,500,78,92,75,74,63,118,Fighting
702,Dedenne,431,67,58,57,81,67,101,Electric
703,Carbink,500,50,50,150,50,150,50,Rock
704,Goomy,300,45,50,35,55,75,40,Dragon
705,Sliggoo,452,68,75,53,83,113,60,Dragon
705,Sliggoo  Hisuian Sliggoo,452,58,75,83,83,113,40,Steel
706,Goodra,600,90,100,70,110,150,80,Dragon
706,Goodra  Hisuian Goodra,600,80,100,100,110,150,60,Steel
707,Klefki,470,57,80,91,80,87,75,Steel
708,Phantump,309,43,70,48,50,60,38,Ghost
709,Trevenant,474,85,110,76,65,82,56,Ghost
710,Pumpkaboo  Average Size,335,49,66,70,44,55,51,Ghost
710,Pumpkaboo  Small Size,335,44,66,70,44,55,56,Ghost
710,Pumpkaboo  Large Size,335,54,66,70,44,55,46,Ghost
710,Pumpkaboo  Super Size,335,59,66,70,44,55,41,Ghost
711,Gourgeist  Average Size,494,65,90,122,58,75,84,Ghost
711,Gourgeist  Small Size,494,55,85,122,58,75,99,Ghost
711,Gourgeist  Large Size,494,75,95,122,58,75,69,Ghost
711,Gourgeist  Super Size,494,85,100,122,58,75,54,Ghost
712,Bergmite,304,55,69,85,32,35,28,Ice
713,Avalugg,514,95,117,184,44,46,28,Ice
713,Avalugg  Hisuian Avalugg,514,95,127,184,34,36,38,Ice
714,Noibat,245,40,30,35,45,40,55,Flying
715,Noivern,535,85,70,80,97,80,123,Flying
716,Xerneas,680,126,131,95,131,98,99,Fairy
717,Yveltal,680,126,131,95,131,98,99,Dark
718,Zygarde  50% Forme,600,108,100,121,81,95,95,Dragon
718,Zygarde  10% Forme,486,54,100,71,61,85,115,Dragon
718,Zygarde  Complete Forme,708,216,100,121,91,95,85,Dragon
719,Diancie,600,50,100,150,100,150,50,Rock
719,Diancie  Mega Diancie,700,50,160,110,160,110,110,Rock
720,Hoopa  Hoopa Confined,600,80,110,60,150,130,70,Psychic
720,Hoopa  Hoopa Unbound,680,80,160,60,170,130,80,Psychic
721,Volcanion,600,80,110,120,130,90,70,Fire
722,Rowlet,320,68,55,55,50,50,42,Grass
723,Dartrix,420,78,75,75,70,70,52,Grass
724,Decidueye,530,78,107,75,100,100,70,Grass
724,Decidueye  Hisuian Decidueye,530,88,112,80,95,95,60,Grass
725,Litten,320,45,65,40,60,40,70,Fire
726,Torracat,420,65,85,50,80,50,90,Fire
727,Incineroar,530,95,115,90,80,90,60,Fire
728,Popplio,320,50,54,54,66,56,40,Water
729,Brionne,420,60,69,69,91,81,50,Water
730,Primarina,530,80,74,74,126,116,60,Water
731,Pikipek,265,35,75,30,30,30,65,Normal
732,Trumbeak,355,55,85,50,40,50,75,Normal
733,Toucannon,485,80,120,75,75,75,60,Normal
734,Yungoos,253,48,70,30,30,30,45,Normal
735,Gumshoos,418,88,110,60,55,60,45,Normal
736,Grubbin,300,47,62,45,55,45,46,Bug
737,Charjabug,400,57,82,95,55,75,36,Bug
738,Vikavolt,500,77,70,90,145,75,43,Bug
739,Crabrawler,338,47,82,57,42,47,63,Fighting
740,Crabominable,478,97,132,77,62,67,43,Fighting
741,Oricorio  Baile Style,476,75,70,70,98,70,93,Fire
741,Oricorio  Pom-Pom Style,476,75,70,70,98,70,93,Electric
741,Oricorio  Pa'u Style,476,75,70,70,98,70,93,Psychic
741,Oricorio  Sensu Style,476,75,70,70,98,70,93,Ghost
742,Cutiefly,304,40,45,40,55,40,84,Bug
743,Ribombee,464,60,55,60,95,70,124,Bug
744,Rockruff,280,45,65,40,30,40,60,Rock
744,Rockruff  Own Tempo Rockruff,280,45,65,40,30,40,60,Rock
745,Lycanroc  Midday Form,487,75,115,65,55,65,112,Rock
745,Lycanroc  Midnight Form,487,85,115,75,55,75,82,Rock
745,Lycanroc  Dusk Form,487,75,117,65,55,65,110,Rock
746,Wishiwashi  Solo Form,175,45,20,20,25,25,40,Water
746,Wishiwashi  School Form,620,45,140,130,140,135,30,Water
747,Mareanie,305,50,53,62,43,52,45,Poison
748,Toxapex,495,50,63,152,53,142,35,Poison
749,Mudbray,385,70,100,70,45,55,45,Ground
750,Mudsdale,500,100,125,100,55,85,35,Ground
751,Dewpider,269,38,40,52,40,72,27,Water
752,Araquanid,454,68,70,92,50,132,42,Water
753,Fomantis,250,40,55,35,50,35,35,Grass
754,Lurantis,480,70,105,90,80,90,45,Grass
755,Morelull,285,40,35,55,65,75,15,Grass
756,Shiinotic,405,60,45,80,90,100,30,Grass
757,Salandit,320,48,44,40,71,40,77,Poison
758,Salazzle,480,68,64,60,111,60,117,Poison
759,Stufful,340,70,75,50,45,50,50,Normal
760,Bewear,500,120,125,80,55,60,60,Normal
761,Bounsweet,210,42,30,38,30,38,32,Grass
762,Steenee,290,52,40,48,40,48,62,Grass
763,Tsareena,510,72,120,98,50,98,72,Grass
764,Comfey,485,51,52,90,82,110,100,Fairy
765,Oranguru,490,90,60,80,90,110,60,Normal
766,Passimian,490,100,120,90,40,60,80,Fighting
767,Wimpod,230,25,35,40,20,30,80,Bug
768,Golisopod,530,75,125,140,60,90,40,Bug
769,Sandygast,320,55,55,80,70,45,15,Ghost
770,Palossand,480,85,75,110,100,75,35,Ghost
771,Pyukumuku,410,55,60,130,30,130,5,Water
772,Type: Null,534,95,95,95,95,95,59,Normal
773,Silvally,570,95,95,95,95,95,95,Normal
774,Minior  Meteor Form,440,60,60,100,60,100,60,Rock
774,Minior  Core Form,500,60,100,60,100,60,120,Rock
775,Komala,480,65,115,65,75,95,65,Normal
776,Turtonator,485,60,78,135,91,85,36,Fire
777,Togedemaru,435,65,98,63,40,73,96,Electric
778,Mimikyu,476,55,90,80,50,105,96,Ghost
779,Bruxish,475,68,105,70,70,70,92,Water
780,Drampa,485,78,60,85,135,91,36,Normal
781,Dhelmise,517,70,131,100,86,90,40,Ghost
782,Jangmo-o,300,45,55,65,45,45,45,Dragon
783,Hakamo-o,420,55,75,90,65,70,65,Dragon
784,Kommo-o,600,75,110,125,100,105,85,Dragon
785,Tapu Koko,570,70,115,85,95,75,130,Electric
786,Tapu Lele,570,70,85,75,130,115,95,Psychic
787,Tapu Bulu,570,70,130,115,85,95,75,Grass
788,Tapu Fini,570,70,75,115,95,130,85,Water
789,Cosmog,200,43,29,31,29,31,37,Psychic
790,Cosmoem,400,43,29,131,29,131,37,Psychic
791,Solgaleo,680,137,137,107,113,89,97,Psychic
792,Lunala,680,137,113,89,137,107,97,Psychic
793,Nihilego,570,109,53,47,127,131,103,Rock
794,Buzzwole,570,107,139,139,53,53,79,Bug
795,Pheromosa,570,71,137,37,137,37,151,Bug
796,Xurkitree,570,83,89,71,173,71,83,Electric
797,Celesteela,570,97,101,103,107,101,61,Steel
798,Kartana,570,59,181,131,59,31,109,Grass
799,Guzzlord,570,223,101,53,97,53,43,Dark
800,Necrozma,600,97,107,101,127,89,79,Psychic
800,Necrozma  Dusk Mane Necrozma,680,97,157,127,113,109,77,Psychic
800,Necrozma  Dawn Wings Necrozma,680,97,113,109,157,127,77,Psychic
800,Necrozma  Ultra Necrozma,754,97,167,97,167,97,129,Psychic
801,Magearna,600,80,95,115,130,115,65,Steel
802,Marshadow,600,90,125,80,90,90,125,Fighting
803,Poipole,420,67,73,67,73,67,73,Poison
804,Naganadel,540,73,73,73,127,73,121,Poison
805,Stakataka,570,61,131,211,53,101,13,Rock
806,Blacephalon,570,53,127,53,151,79,107,Fire
807,Zeraora,600,88,112,75,102,80,143,Electric
808,Meltan,300,46,65,65,55,35,34,Steel
809,Melmetal,600,135,143,143,80,65,34,Steel
810,Grookey,310,50,65,50,40,40,65,Grass
811,Thwackey,420,70,85,70,55,60,80,Grass
812,Rillaboom,530,100,125,90,60,70,85,Grass
813,Scorbunny,310,50,71,40,40,40,69,Fire
814,Raboot,420,65,86,60,55,60,94,Fire
815,Cinderace,530,80,116,75,65,75,119,Fire
816,Sobble,310,50,40,40,70,40,70,Water
817,Drizzile,420,65,60,55,95,55,90,Water
818,Inteleon,530,70,85,65,125,65,120,Water
819,Skwovet,275,70,55,55,35,35,25,Normal
820,Greedent,460,120,95,95,55,75,20,Normal
821,Rookidee,245,38,47,35,33,35,57,Flying
822,Corvisquire,365,68,67,55,43,55,77,Flying
823,Corviknight,495,98,87,105,53,85,67,Flying
824,Blipbug,180,25,20,20,25,45,45,Bug
825,Dottler,335,50,35,80,50,90,30,Bug
826,Orbeetle,505,60,45,110,80,120,90,Bug
827,Nickit,245,40,28,28,47,52,50,Dark
828,Thievul,455,70,58,58,87,92,90,Dark
829,Gossifleur,250,40,40,60,40,60,10,Grass
830,Eldegoss,460,60,50,90,80,120,60,Grass
831,Wooloo,270,42,40,55,40,45,48,Normal
832,Dubwool,490,72,80,100,60,90,88,Normal
833,Chewtle,284,50,64,50,38,38,44,Water
834,Drednaw,485,90,115,90,48,68,74,Water
835,Yamper,270,59,45,50,40,50,26,Electric
836,Boltund,490,69,90,60,90,60,121,Electric
837,Rolycoly,240,30,40,50,40,50,30,Rock
838,Carkol,410,80,60,90,60,70,50,Rock
839,Coalossal,510,110,80,120,80,90,30,Rock
840,Applin,260,40,40,80,40,40,20,Grass
841,Flapple,485,70,110,80,95,60,70,Grass
842,Appletun,485,110,85,80,100,80,30,Grass
843,Silicobra,315,52,57,75,35,50,46,Ground
844,Sandaconda,510,72,107,125,65,70,71,Ground
845,Cramorant,475,70,85,55,85,95,85,Flying
846,Arrokuda,280,41,63,40,40,30,66,Water
847,Barraskewda,490,61,123,60,60,50,136,Water
848,Toxel,242,40,38,35,54,35,40,Electric
849,Toxtricity  Amped Form,502,75,98,70,114,70,75,Electric
849,Toxtricity  Low Key Form,502,75,98,70,114,70,75,Electric
850,Sizzlipede,305,50,65,45,50,50,45,Fire
851,Centiskorch,525,100,115,65,90,90,65,Fire
852,Clobbopus,310,50,68,60,50,50,32,Fighting
853,Grapploct,480,80,118,90,70,80,42,Fighting
